profile_id,figure,label,pipeline,glmhmm_enabled,status,entrypoint,runs,metadata_source,metadata_rows,unique_identifiers,profile_path
figure1_snr_glmhmm,Figure 1,SNr behavioral optogenetics,opto_behavior,true,ready,opto_analysis/opto_analysis.py,1,metadata_final/metadata_opto_behavior.py,37,37,configs/figures/figure1_snr_glmhmm.json
figure1_zi_glmhmm,Figure 1,ZI behavioral optogenetics,opto_behavior,true,ready,opto_analysis/opto_analysis.py,1,metadata_final/metadata_opto_behavior.py,56,55,configs/figures/figure1_zi_glmhmm.json
figure2_snr_bs_no_glmhmm,Figure 2,SNr inhibition and downstream bias-selective firing,ephys_bs,false,ready_source_snapshot,ephys_analysis/SNr_inhibition_BS_downstream_effect.py,1,metadata_final/metadata_optostim_new.py,25,25,configs/figures/figure2_snr_bs_no_glmhmm.json
figure3_stn_glmhmm,Figure 3,STN behavioral optogenetics,opto_behavior,true,ready,opto_analysis/opto_analysis.py,1,metadata_final/metadata_opto_behavior.py,55,55,configs/figures/figure3_stn_glmhmm.json
figure3_vls_d1_glmhmm,Figure 3,VLS D1 behavioral optogenetics,opto_behavior,true,ready,opto_analysis/opto_analysis.py,1,metadata_final/metadata_opto_behavior.py,129,129,configs/figures/figure3_vls_d1_glmhmm.json
figure3_vls_d2_glmhmm,Figure 3,VLS D2 behavioral optogenetics,opto_behavior,true,ready,opto_analysis/opto_analysis.py,1,metadata_final/metadata_opto_behavior.py,141,139,configs/figures/figure3_vls_d2_glmhmm.json
figure4_zapit_glmhmm,Figure 4,ZAPIT laser-scanning optogenetics,zapit,true,ready,zapit/zapit_analysis.py,1,metadata_final/metadata_zapit.py,267,267,configs/figures/figure4_zapit_glmhmm.json
supp1_bwm_bias,Supplementary Figure 1,Brain-Wide Map bias-selectivity analysis,bias_selectivity,false,awaiting_cohort_metadata,bias_selectivity_analysis/quantify_biasselective_allregions_2.py,1,,0,0,configs/figures/supp1_bwm_bias.json
supp1_glmhmm_states,Supplementary Figure 1,SNr behavioral effect split by four GLM-HMM states,opto_behavior,true,ready,opto_analysis/opto_analysis.py,4,metadata_final/metadata_opto_behavior.py,37,37,configs/figures/supp1_glmhmm_states.json
supp1_hemisphere_specific,Supplementary Figure 1,SNr behavioral optogenetics by stimulated hemisphere,opto_behavior,true,ready,opto_analysis/opto_analysis.py,3,metadata_final/metadata_opto_behavior.py,139,137,configs/figures/supp1_hemisphere_specific.json
supp1_optogenetic_validation,Supplementary Figure 1,Direct SNr and ZI optogenetic validation,ephys_bs,false,ready_source_snapshot,ephys_analysis/SNr_inhibition_BS_downstream_effect.py,2,metadata_final/metadata_direct_stimulation.py,11,11,configs/figures/supp1_optogenetic_validation.json
supp1_snr_no_glmhmm,Supplementary Figure 1,SNr behavioral optogenetics without GLM-HMM indexing,opto_behavior,false,ready,opto_analysis/opto_analysis.py,1,metadata_final/metadata_opto_behavior.py,37,37,configs/figures/supp1_snr_no_glmhmm.json
supp1_state_occupancy,Supplementary Figure 1,GLM-HMM state occupancy in left and right blocks,state_occupancy,true,awaiting_colleague_code,,1,,0,0,configs/figures/supp1_state_occupancy.json
