identifier_type,identifier,pipelines,figure_profiles,metadata_rows,mouse,eid,pid,probe_name
eid,002e60e1-e646-4f69-b6e3-d3b00f082797,opto_behavior,figure3_stn_glmhmm,1,SWC_NM_025,002e60e1-e646-4f69-b6e3-d3b00f082797,,
eid,0068b011-c60f-491f-a29c-245877cd1bc1,opto_behavior,figure3_stn_glmhmm,1,SWC_NM_025,0068b011-c60f-491f-a29c-245877cd1bc1,,
eid,00b8057d-117d-434a-82e3-94cf7eb5f020,opto_behavior,figure3_vls_d1_glmhmm,1,SWC_NM_053,00b8057d-117d-434a-82e3-94cf7eb5f020,,
eid,00ef451c-6d64-450b-9084-91198f93167a,opto_behavior,,1,SWC_NM_102,00ef451c-6d64-450b-9084-91198f93167a,,
eid,01654936-4daf-403b-b55c-ce2baba12a15,opto_behavior,supp1_hemisphere_specific,1,SWC_NM_096,01654936-4daf-403b-b55c-ce2baba12a15,,
eid,028cca41-d6cf-4487-b0d1-817a3c2ee94f,opto_behavior,figure1_snr_glmhmm;supp1_glmhmm_states;supp1_hemisphere_specific;supp1_snr_no_glmhmm,1,SWC_NM_018,028cca41-d6cf-4487-b0d1-817a3c2ee94f,,
eid,02af576e-0aa1-4784-b631-adbc3792f4d5,opto_behavior,,1,SWC_NM_011,02af576e-0aa1-4784-b631-adbc3792f4d5,,
eid,02e6a896-001e-4c05-8acf-6a2d8c4198bd,zapit,figure4_zapit_glmhmm,1,SWC_NM_086,02e6a896-001e-4c05-8acf-6a2d8c4198bd,,
eid,034bf182-47bb-4866-8340-1e910bdc79c6,opto_behavior,,1,SWC_NM_004,034bf182-47bb-4866-8340-1e910bdc79c6,,
eid,03bd9265-4e9e-4c96-8e57-4cc3827aa0d8,opto_behavior,,1,SWC_NM_012,03bd9265-4e9e-4c96-8e57-4cc3827aa0d8,,
eid,03c15834-baf0-4aff-a86c-acbee21c92d9,opto_behavior,supp1_hemisphere_specific,1,SWC_NM_113,03c15834-baf0-4aff-a86c-acbee21c92d9,,
eid,04260f14-4329-4d71-9061-092cc441e2d7,opto_behavior,,1,SWC_NM_012,04260f14-4329-4d71-9061-092cc441e2d7,,
eid,0451b6d9-8451-44bc-9e15-95117ee255a7,opto_behavior,,1,SWC_NM_108,0451b6d9-8451-44bc-9e15-95117ee255a7,,
eid,04c46a39-bc2f-42fc-9ce2-d48adf8fc545,zapit,figure4_zapit_glmhmm,1,SWC_NM_057,04c46a39-bc2f-42fc-9ce2-d48adf8fc545,,
eid,052dd6e7-ac9e-450f-8237-314a9e1df35a,opto_behavior,figure3_vls_d2_glmhmm,1,SWC_NM_083,052dd6e7-ac9e-450f-8237-314a9e1df35a,,
eid,053bf690-e0a1-4743-af69-747999975b78,zapit,figure4_zapit_glmhmm,1,SWC_NM_071,053bf690-e0a1-4743-af69-747999975b78,,
eid,05648028-3a12-4c33-ac0e-62d47ce52779,opto_behavior,figure3_vls_d1_glmhmm,1,SWC_NM_098,05648028-3a12-4c33-ac0e-62d47ce52779,,
eid,05aea529-b4ef-4d53-a6e7-16ceb757d7d5,zapit,figure4_zapit_glmhmm,1,SWC_NM_058,05aea529-b4ef-4d53-a6e7-16ceb757d7d5,,
eid,05d54cbb-be17-4066-a2cf-4a968bb5485a,opto_behavior,,1,SWC_NM_102,05d54cbb-be17-4066-a2cf-4a968bb5485a,,
eid,05edb069-980d-42de-b9fa-178ef0648a21,opto_behavior,figure1_zi_glmhmm,2,SWC_NM_003;SWC_NM_008,05edb069-980d-42de-b9fa-178ef0648a21,,
eid,067dafe5-30e7-4f71-9e85-b10f1627df8a,opto_behavior,,1,SWC_NM_063,067dafe5-30e7-4f71-9e85-b10f1627df8a,,
eid,06a244bd-9e57-49e2-8fda-cdbc888c4243,zapit,,1,SWC_NM_071,06a244bd-9e57-49e2-8fda-cdbc888c4243,,
eid,06d5f438-7e79-47d1-8cfe-6fbc09cc2b8a,opto_behavior,figure3_vls_d1_glmhmm,1,SWC_NM_099,06d5f438-7e79-47d1-8cfe-6fbc09cc2b8a,,
eid,06da6f6d-b7ed-44b9-88bc-2853c059bdde,opto_behavior,figure1_zi_glmhmm,1,SWC_NM_104,06da6f6d-b7ed-44b9-88bc-2853c059bdde,,
eid,06f3b09d-c27c-4e8e-844c-a5aea4098921,opto_behavior,figure3_vls_d1_glmhmm,1,SWC_NM_100,06f3b09d-c27c-4e8e-844c-a5aea4098921,,
eid,0750678c-c2a3-4a3f-b7b5-7a556c3baa3c,zapit,figure4_zapit_glmhmm,1,SWC_NM_082,0750678c-c2a3-4a3f-b7b5-7a556c3baa3c,,
eid,0798878a-ad8d-4fa1-9dc0-5f31b880d850,opto_behavior,figure3_vls_d2_glmhmm,1,SWC_NM_087,0798878a-ad8d-4fa1-9dc0-5f31b880d850,,
eid,07fc3997-620a-45e0-abed-cc4c0bcd66f6,zapit,,1,SWC_NM_085,07fc3997-620a-45e0-abed-cc4c0bcd66f6,,
eid,081cb963-1bd3-4182-b685-9da5c308e71b,zapit,,1,SWC_NM_085,081cb963-1bd3-4182-b685-9da5c308e71b,,
eid,084b0e43-b736-4424-a856-c961fe9b6777,zapit,figure4_zapit_glmhmm,1,SWC_NM_081,084b0e43-b736-4424-a856-c961fe9b6777,,
