profile_id,run_id,status,pipeline,figure_prefix,glmhmm_enabled,n_states,state_type,state_definition,selection_json,parameters_json,metadata_rows,unique_identifiers
figure1_snr_glmhmm,default,ready,opto_behavior,fig1_snr_glmhmm,true,2,engaged,previous,"{""Brain_Region"":[""SNr""],""Hemisphere"":[""right""],""Mouse_ID"":[""SWC_NM_004"",""SWC_NM_008"",""SWC_NM_011"",""SWC_NM_012"",""SWC_NM_018"",""SWC_NM_016"",""SWC_NM_080"",""SWC_NM_096"",""SWC_NM_103"",""SWC_NM_113""],""Pulse_Params"":[""cont""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":0,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0}",37,37
figure1_zi_glmhmm,default,ready,opto_behavior,fig1_zi_glmhmm,true,2,engaged,previous,"{""Brain_Region"":[""ZI""],""Mouse_ID"":[""SWC_NM_003"",""SWC_NM_010"",""SWC_NM_022"",""SWC_NM_104"",""SWC_NM_111""],""Pulse_Params"":[""cont""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":0,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0}",56,55
figure2_snr_bs_no_glmhmm,default,ready_source_snapshot,ephys_bs,fig2_snr_bs_no_glmhmm,false,,,,"{""brain region"":[""SNr""],""condition"":[""ipsi""]}","{""ALIGNMENTS"":[""Laser onset"",""Feedback""],""ESTIMATOR"":""all_trials"",""NORMALIZATION"":""whole_control_scalar"",""ORIENTATION"":""qp_preference""}",25,25
figure3_stn_glmhmm,default,ready,opto_behavior,fig3_stn_glmhmm,true,2,engaged,previous,"{""Brain_Region"":[""STN""],""Mouse_ID"":[""SWC_NM_024"",""SWC_NM_025"",""SWC_NM_026""],""Pulse_Params"":[""cont""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":0,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0}",55,55
figure3_vls_d1_glmhmm,default,ready,opto_behavior,fig3_vls_d1_glmhmm,true,2,engaged,previous,"{""Brain_Region"":[""VLS""],""Genetic_Line"":[""D1-Cre""],""Mouse_ID"":[""SWC_NM_053"",""SWC_NM_098"",""SWC_NM_099"",""SWC_NM_100"",""SWC_NM_101"",""SWC_NM_073"",""SWC_NM_105""],""Pulse_Params"":[""50hz"",""cont_c""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":0,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0}",129,129
figure3_vls_d2_glmhmm,default,ready,opto_behavior,fig3_vls_d2_glmhmm,true,2,engaged,previous,"{""Brain_Region"":[""VLS""],""Mouse_ID"":[""SWC_NM_065"",""SWC_NM_109"",""SWC_NM_108"",""SWC_NM_089"",""SWC_NM_087"",""SWC_NM_083"",""SWC_NM_107""],""Opsin"":[""ChR2""],""Pulse_Params"":[""50hz"",""cont_c""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":0,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0}",141,139
figure4_zapit_glmhmm,default,ready,zapit,fig4_zapit_glmhmm,true,2,engaged,previous,"{""Brain_Region"":[""motor_bilateral""],""Stimulation_Params"":[""zapit""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD_ZAPIT"":1.0,""MIN_NUM_TRIALS"":150,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0.8}",267,267
supp1_bwm_bias,default,awaiting_cohort_metadata,bias_selectivity,supp1_bwm_bias,false,,,,{},{},0,0
supp1_glmhmm_states,state1,ready,opto_behavior,supp1_glmhmm_state1,true,4,state1,previous,"{""Brain_Region"":[""SNr""],""Hemisphere"":[""right""],""Mouse_ID"":[""SWC_NM_004"",""SWC_NM_008"",""SWC_NM_011"",""SWC_NM_012"",""SWC_NM_018"",""SWC_NM_016"",""SWC_NM_080"",""SWC_NM_096"",""SWC_NM_103"",""SWC_NM_113""],""Pulse_Params"":[""cont""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":0,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0}",37,37
supp1_glmhmm_states,state2,ready,opto_behavior,supp1_glmhmm_state2,true,4,state2,previous,"{""Brain_Region"":[""SNr""],""Hemisphere"":[""right""],""Mouse_ID"":[""SWC_NM_004"",""SWC_NM_008"",""SWC_NM_011"",""SWC_NM_012"",""SWC_NM_018"",""SWC_NM_016"",""SWC_NM_080"",""SWC_NM_096"",""SWC_NM_103"",""SWC_NM_113""],""Pulse_Params"":[""cont""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":0,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0}",37,37
supp1_glmhmm_states,state3,ready,opto_behavior,supp1_glmhmm_state3,true,4,state3,previous,"{""Brain_Region"":[""SNr""],""Hemisphere"":[""right""],""Mouse_ID"":[""SWC_NM_004"",""SWC_NM_008"",""SWC_NM_011"",""SWC_NM_012"",""SWC_NM_018"",""SWC_NM_016"",""SWC_NM_080"",""SWC_NM_096"",""SWC_NM_103"",""SWC_NM_113""],""Pulse_Params"":[""cont""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":0,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0}",37,37
supp1_glmhmm_states,state4,ready,opto_behavior,supp1_glmhmm_state4,true,4,state4,previous,"{""Brain_Region"":[""SNr""],""Hemisphere"":[""right""],""Mouse_ID"":[""SWC_NM_004"",""SWC_NM_008"",""SWC_NM_011"",""SWC_NM_012"",""SWC_NM_018"",""SWC_NM_016"",""SWC_NM_080"",""SWC_NM_096"",""SWC_NM_103"",""SWC_NM_113""],""Pulse_Params"":[""cont""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":0,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0}",37,37
supp1_hemisphere_specific,left,ready,opto_behavior,supp1_snr_hemisphere_left,true,2,engaged,previous,"{""Brain_Region"":[""SNr""],""Hemisphere"":[""left""],""Mouse_ID"":[""SWC_NM_004"",""SWC_NM_008"",""SWC_NM_011"",""SWC_NM_012"",""SWC_NM_018"",""SWC_NM_016"",""SWC_NM_080"",""SWC_NM_096"",""SWC_NM_103"",""SWC_NM_113""],""Pulse_Params"":[""cont""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":0,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0}",54,54
supp1_hemisphere_specific,right,ready,opto_behavior,supp1_snr_hemisphere_right,true,2,engaged,previous,"{""Brain_Region"":[""SNr""],""Hemisphere"":[""right""],""Mouse_ID"":[""SWC_NM_004"",""SWC_NM_008"",""SWC_NM_011"",""SWC_NM_012"",""SWC_NM_018"",""SWC_NM_016"",""SWC_NM_080"",""SWC_NM_096"",""SWC_NM_103"",""SWC_NM_113""],""Pulse_Params"":[""cont""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":0,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0}",37,37
supp1_hemisphere_specific,both,ready,opto_behavior,supp1_snr_hemisphere_both,true,2,engaged,previous,"{""Brain_Region"":[""SNr""],""Hemisphere"":[""both""],""Mouse_ID"":[""SWC_NM_004"",""SWC_NM_008"",""SWC_NM_011"",""SWC_NM_012"",""SWC_NM_018"",""SWC_NM_016"",""SWC_NM_080"",""SWC_NM_096"",""SWC_NM_103"",""SWC_NM_113""],""Pulse_Params"":[""cont""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":0,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0}",48,48
supp1_optogenetic_validation,snr_directstim,ready_source_snapshot,ephys_bs,supp1_snr_directstim,false,,,,"{""condition"":[""SNr_directstim""]}",{},3,3
supp1_optogenetic_validation,zi_directstim,ready_source_snapshot,ephys_bs,supp1_zi_directstim,false,,,,"{""condition"":[""ZI_directstim""]}",{},8,8
supp1_snr_no_glmhmm,default,ready,opto_behavior,supp1_snr_no_glmhmm,false,,,,"{""Brain_Region"":[""SNr""],""Hemisphere"":[""right""],""Mouse_ID"":[""SWC_NM_004"",""SWC_NM_008"",""SWC_NM_011"",""SWC_NM_012"",""SWC_NM_018"",""SWC_NM_016"",""SWC_NM_080"",""SWC_NM_096"",""SWC_NM_103"",""SWC_NM_113""],""Pulse_Params"":[""cont""],""Stimulation_Params"":[""QPRE"",""QPRE*""]}","{""BASELINE_PERFORMANCE_THRESHOLD"":0.8,""MIN_BIAS_THRESHOLD"":0.5,""MIN_NUM_TRIALS"":300,""MIN_STIM_TRIALS"":20,""ONLY_INCLUDE_BIAS_TRIALS"":true,""RT_THRESHOLD"":100,""STIM_PERFORMANCE_THRESHOLD"":0.5}",37,37
supp1_state_occupancy,default,awaiting_colleague_code,state_occupancy,supp1_state_occupancy,true,2,all_states,previous,{},{},0,0
